Test Case,Zaleski Solver,C GMP,C Bignum,Rust GMP,Rust Bignum,minisat,cadical
100v150c,120,0.048,120,0.024634,0.024444,0.004427,0
200v300c,120,5.2,120,2.5949,2.7088,0.007507,0
300v450c,120,1.06,120,0.62499,0.6238,0.02141,0
500v750c,120,10.03,120,6.3293,6.3847,0.06062,0.01
100v200c,120,0.23,120,0.1227,0.12032,0.00424,0
200v400c,120,2.73,120,1.4037,1.3962,0.013287,0
300v600c,120,75.9,120,42.334,42.95,0.024191,0.01
500v1000c,120,21.4,120,13.3,13.451,0.095097,0.02
p-1,0.0004,0.000002,120,0.00000045429,0.00000034767,0.002012,0
p-2,0.002,0.000013,120,0.000010992,0.0000090352,0.001614,0
p-3,120,0.057127,120,0.038102,0.032116,0.001762,0
5,27.5512,0.014003,120,0.010125,0.0084952,0.001752,0
7,26.8569,0.013886,120,0.0093155,0.0079782,0.001778,0
30v30c,120,0.110287,120,0.067918,0.058367,0.0018,120
30v35c,120,0.585505,120,0.39917,0.34979,0.001823,120
30v40c,120,1.877954,120,1.2931,1.155,0.001831,120
30v45c,120,18.321177,120,12.76,11.665,0.001838,120
30v50c,120,21.24361,120,15.896,14.304,0.001854,120
80v30c,120,2.436273,3.471,1.6581,1.4398,0.001804,120
90v30c,120,15.308875,2.34,10.66,9.2524,0.001861,120
